
> web@0.1.0 dev
> next dev --webpack

   ▲ Next.js 16.0.0 (webpack)
   - Local:        http://localhost:3000
   - Network:      http://192.168.1.3:3000

 ✓ Starting...
 ✓ Ready in 4.2s
 GET / 200 in 2.3s (compile: 1903ms, render: 371ms)
 GET /director/planning/6 200 in 285ms (compile: 222ms, render: 63ms)
 GET /director/planning/6 200 in 118ms (compile: 73ms, render: 45ms)
 GET /director/planning/6 200 in 291ms (compile: 7ms, render: 284ms)
 GET /director/planning/6 200 in 234ms (compile: 120ms, render: 114ms)
 GET /director/planning/6 200 in 108ms (compile: 74ms, render: 34ms)
 GET /director/planning/6 200 in 133ms (compile: 72ms, render: 61ms)
 GET /director/planning/6 200 in 223ms (compile: 174ms, render: 49ms)
 GET /director/planning/6 200 in 154ms (compile: 96ms, render: 58ms)
 GET /director/planning/6 200 in 100ms (compile: 73ms, render: 26ms)
 GET /director/planning/6 200 in 151ms (compile: 103ms, render: 47ms)
 GET /director/planning/6 200 in 244ms (compile: 178ms, render: 66ms)
 GET /director/planning/6 200 in 131ms (compile: 92ms, render: 39ms)
 GET /director/planning/6 200 in 93ms (compile: 63ms, render: 29ms)
 GET /director/planning/6 200 in 100ms (compile: 61ms, render: 39ms)
 GET /director/planning/6 200 in 242ms (compile: 172ms, render: 70ms)
 GET /director/planning/6 200 in 91ms (compile: 61ms, render: 30ms)
 GET /director/planning/6 200 in 107ms (compile: 70ms, render: 37ms)
 GET /director/planning/6 200 in 595ms (compile: 569ms, render: 26ms)
 GET /director/planning/6 200 in 449ms (compile: 62ms, render: 388ms)
 GET /director/planning/6 200 in 137ms (compile: 105ms, render: 32ms)
 GET /director/planning/6 200 in 259ms (compile: 133ms, render: 127ms)
 GET /director/planning/6 200 in 203ms (compile: 81ms, render: 122ms)
 GET /director/planning/6 200 in 162ms (compile: 108ms, render: 54ms)
 GET /director/planning/6 200 in 187ms (compile: 162ms, render: 25ms)
 GET /director/planning/6 200 in 110ms (compile: 77ms, render: 33ms)
 GET /director/planning/6 200 in 212ms (compile: 165ms, render: 47ms)
 GET /director/planning/6 200 in 87ms (compile: 56ms, render: 31ms)
 GET /director/planning/6 200 in 114ms (compile: 82ms, render: 32ms)
 GET /director/planning/6 200 in 249ms (compile: 174ms, render: 74ms)
 GET /director/planning/6 200 in 284ms (compile: 30ms, render: 254ms)
 GET /director/planning/6 200 in 124ms (compile: 76ms, render: 48ms)
 GET /director/planning/6 200 in 198ms (compile: 159ms, render: 39ms)
 GET /director/planning/6 200 in 49ms (compile: 8ms, render: 40ms)
 GET /director/planning/6 200 in 215ms (compile: 11ms, render: 204ms)
 GET /director 200 in 659ms (compile: 354ms, render: 305ms)
 GET / 200 in 1347ms (compile: 1079ms, render: 268ms)
 GET /director/sites 200 in 141ms (compile: 118ms, render: 24ms)
 GET / 200 in 25ms (compile: 4ms, render: 21ms)
 GET /director/sites 200 in 22ms (compile: 4ms, render: 18ms)
 GET /director/workers 200 in 1177ms (compile: 1121ms, render: 56ms)
 GET / 200 in 30ms (compile: 9ms, render: 21ms)
 GET /director/sites 200 in 30ms (compile: 10ms, render: 20ms)
